"quarter","inflation","unemployment","tbill_rate"
"1953Q1",1.58135825448897,2.7,1.98
"1953Q2",1.44135818639715,2.56666666666667,2.15333333333333
"1953Q3",1.06002784159966,2.73333333333333,1.95666666666667
"1953Q4",1.00451010207752,3.7,1.47333333333333
"1954Q1",1.32845472910761,5.26666666666667,1.06
"1954Q2",1.2738082330026,5.8,0.79
"1954Q3",0.813493615023964,5.96666666666667,0.883333333333333
"1954Q4",0.649400850580673,5.33333333333333,1.02
"1955Q1",0.602721412984009,4.73333333333333,1.22333333333333
"1955Q2",0.973974233033825,4.4,1.48333333333333
"1955Q3",1.74501562262335,4.1,1.85666666666667
"1955Q4",2.27621360611807,4.23333333333333,2.33666666666667
"1956Q1",2.88200221629751,4.03333333333333,2.32666666666667
"1956Q2",3.26205488667957,4.2,2.56666666666667
"1956Q3",3.68069967273499,4.13333333333333,2.58333333333333
"1956Q4",3.62906043489533,4.13333333333333,3.03333333333333
"1957Q1",3.7864260547869,3.93333333333333,3.09666666666667
"1957Q2",3.55460570502912,4.1,3.14
"1957Q3",3.21955253596276,4.23333333333333,3.35333333333333
"1957Q4",3.19350282013495,4.93333333333333,3.31
"1958Q1",2.89189803312175,6.3,1.75666666666667
"1958Q2",2.61360571978728,7.36666666666667,0.956666666666667
"1958Q3",2.08577653000663,7.33333333333333,1.68
"1958Q4",1.62540215764122,6.36666666666667,2.69
"1959Q1",1.25746196940342,5.83333333333333,2.77333333333333
"1959Q2",1.12108797492168,5.1,3
"1959Q3",1.30798144595103,5.26666666666667,3.54
"1959Q4",1.56688556581326,5.6,4.23
"1960Q1",1.28730499877303,5.13333333333333,3.87333333333333
"1960Q2",1.35480480373062,5.23333333333333,2.99333333333333
"1960Q3",1.3619770815728,5.53333333333333,2.36
"1960Q4",1.41452382747973,6.26666666666667,2.30666666666667
"1961Q1",1.34143634102823,6.8,2.35
"1961Q2",1.1833696521923,7,2.30333333333333
"1961Q3",0.961607512401308,6.76666666666667,2.30333333333333
"1961Q4",0.753949006227028,6.2,2.46
"1962Q1",1.13384232732603,5.63333333333333,2.72333333333333
"1962Q2",1.20743713995357,5.53333333333333,2.71666666666667
"1962Q3",1.23642319500323,5.56666666666667,2.84
"1962Q4",1.24618116486936,5.53333333333333,2.81333333333333
"1963Q1",1.24006247112041,5.76666666666667,2.90666666666667
"1963Q2",1.05561771949345,5.73333333333333,2.94
"1963Q3",0.922070199215952,5.5,3.29333333333333
"1963Q4",1.3363505977638,5.56666666666667,3.49666666666667
"1964Q1",1.22487308738428,5.46666666666667,3.53
"1964Q2",1.42735450471703,5.2,3.47666666666667
"1964Q3",1.81288801019162,5,3.49666666666667
"1964Q4",1.58162009541352,4.96666666666667,3.68333333333333
"1965Q1",1.64259638257334,4.9,3.89
"1965Q2",1.81956418249443,4.66666666666667,3.87333333333333
"1965Q3",1.78060673580629,4.36666666666667,3.86666666666667
"1965Q4",2.01282143732486,4.1,4.16666666666667
"1966Q1",2.18269194854099,3.86666666666667,4.61
"1966Q2",2.61569910775039,3.83333333333333,4.58666666666667
"1966Q3",3.03736719630194,3.76666666666667,5.04333333333333
"1966Q4",3.19768154331417,3.7,5.21
"1967Q1",3.00558667711575,3.83333333333333,4.51333333333333
"1967Q2",2.70404612957362,3.83333333333333,3.66
"1967Q3",2.72631507583641,3.8,4.3
"1967Q4",3.00864708194237,3.9,4.75333333333333
"1968Q1",3.67736401391618,3.73333333333333,5.05
"1968Q2",4.1964199099032,3.56666666666667,5.52
"1968Q3",4.25240761743102,3.53333333333333,5.19666666666667
"1968Q4",4.54073825316934,3.4,5.58666666666667
"1969Q1",4.45025564673536,3.4,6.09333333333333
"1969Q2",4.64374903614813,3.43333333333333,6.19666666666667
"1969Q3",5.10425954266385,3.56666666666667,7.02333333333333
"1969Q4",4.96420150779753,3.56666666666667,7.35333333333333
"1970Q1",5.33584196336099,4.16666666666667,7.21
"1970Q2",5.45729270514874,4.76666666666667,6.67666666666667
"1970Q3",4.86126126050319,5.16666666666667,6.32666666666667
"1970Q4",4.91456487400321,5.83333333333333,5.35333333333333
"1971Q1",5.05110685367369,5.93333333333333,3.84
"1971Q2",4.95263555840353,5.9,4.25
"1971Q3",5.1384540101223,6.03333333333333,5.01
"1971Q4",4.66572174700719,5.93333333333333,4.23
"1972Q1",4.75332366200734,5.76666666666667,3.43666666666667
"1972Q2",4.03031661518067,5.7,3.77
"1972Q3",3.9278377668357,5.56666666666667,4.22
"1972Q4",4.23078788946798,5.36666666666667,4.86333333333333
"1973Q1",3.90184024120899,4.93333333333333,5.7
"1973Q2",4.93116968814618,4.93333333333333,6.60333333333333
"1973Q3",5.92510061544402,4.8,8.32333333333333
"1973Q4",6.51368944150983,4.76666666666667,7.5
"1974Q1",7.25610160780974,5.13333333333333,7.61666666666667
"1974Q2",7.81270333785629,5.2,8.15333333333333
"1974Q3",8.95308797226377,5.63333333333333,8.19
"1974Q4",10.2263198565997,6.6,7.36
"1975Q1",10.4578896356643,8.26666666666667,5.75
"1975Q2",9.69858766009546,8.86666666666667,5.39333333333333
"1975Q3",8.41701484588842,8.46666666666667,6.33
"1975Q4",7.08273406893376,8.3,5.62666666666667
"1976Q1",5.93298874301862,7.73333333333333,4.91666666666667
"1976Q2",5.49041133543171,7.56666666666667,5.15666666666667
"1976Q3",5.00452370613158,7.73333333333333,5.15
"1976Q4",5.03451107903223,7.76666666666667,4.67333333333333
"1977Q1",5.54806955289147,7.5,4.63
"1977Q2",6.12392002834832,7.13333333333333,4.84
"1977Q3",6.22466983697705,6.9,5.49666666666667
"1977Q4",6.19588448295714,6.66666666666667,6.11
"1978Q1",6.22097432479176,6.33333333333333,6.39333333333333
"1978Q2",6.62448252837202,6,6.47666666666667
"1978Q3",7.00534127599002,6.03333333333333,7.31333333333333
"1978Q4",7.30609255922952,5.9,8.57
"1979Q1",7.53088611761585,5.86666666666667,9.38333333333333
"1979Q2",7.94395818802425,5.7,9.37666666666667
"1979Q3",8.26152414831061,5.86666666666667,9.67333333333333
"1979Q4",8.11031995227265,5.96666666666667,11.8433333333333
"1980Q1",8.42377880747143,6.3,13.3533333333333
"1980Q2",8.38220430308505,7.33333333333333,9.61666666666667
"1980Q3",8.5198040479757,7.66666666666667,9.15333333333333
"1980Q4",9.33085102629172,7.4,13.6133333333333
"1981Q1",9.78404022439183,7.43333333333333,14.39
"1981Q2",9.2987026665543,7.4,14.9066666666667
"1981Q3",9.01996508691663,7.4,15.0533333333333
"1981Q4",8.04025279933258,8.23333333333333,11.75
"1982Q1",6.84725366469099,8.83333333333333,12.8133333333333
"1982Q2",6.30603480892145,9.43333333333333,12.42
"1982Q3",5.75872040455994,9.9,9.31666666666667
"1982Q4",5.12808629652088,10.6666666666667,7.90666666666667
"1983Q1",4.50086856964238,10.3666666666667,8.10666666666667
"1983Q2",3.92012593237729,10.1333333333333,8.39666666666667
"1983Q3",3.60003944718201,9.36666666666667,9.14
"1983Q4",3.33638766453936,8.53333333333333,8.8
"1984Q1",3.52242675229841,7.86666666666667,9.17
"1984Q2",3.67851840216056,7.43333333333333,9.79666666666667
"1984Q3",3.51937657440762,7.43333333333333,10.32
"1984Q4",3.47167095036731,7.3,8.80333333333333
"1985Q1",3.50984112101833,7.23333333333333,8.18333333333333
"1985Q2",3.2031458000028,7.3,7.46
"1985Q3",2.96729331144809,7.2,7.10666666666667
"1985Q4",2.78911209878743,7.03333333333333,7.16666666666667
"1986Q1",2.26162489070068,7.03333333333333,6.89666666666667
"1986Q2",2.02244204651274,7.16666666666667,6.14
"1986Q3",1.83416515687362,6.96666666666667,5.52333333333333
"1986Q4",1.9090153892916,6.83333333333333,5.35333333333333
"1987Q1",1.99681850119755,6.6,5.53666666666667
"1987Q2",2.32501917176808,6.26666666666667,5.65666666666667
"1987Q3",2.62030362770296,6,6.04333333333333
"1987Q4",2.77454808101161,5.83333333333333,5.86333333333333
"1988Q1",2.96397143538547,5.7,5.72333333333333
"1988Q2",3.28135995340695,5.46666666666667,6.21
"1988Q3",3.72748255270796,5.46666666666667,7.01
"1988Q4",3.89557717073714,5.33333333333333,7.72666666666667
"1989Q1",4.08463777087129,5.2,8.54
"1989Q2",4.16614986478825,5.23333333333333,8.41
"1989Q3",3.68934277375743,5.23333333333333,7.84333333333333
"1989Q4",3.45417067188665,5.36666666666667,7.65333333333333
"1990Q1",3.57930562096938,5.3,7.76
"1990Q2",3.61614898043872,5.33333333333333,7.74666666666667
"1990Q3",3.73771475113847,5.7,7.47666666666667
"1990Q4",3.81777557990226,6.13333333333333,6.99
"1991Q1",3.70157626190313,6.6,6.02333333333333
"1991Q2",3.30676028006609,6.83333333333333,5.56
"1991Q3",3.21066787531734,6.86666666666667,5.37666666666667
"1991Q4",3.0301870786765,7.1,4.54
"1992Q1",2.4607757273662,7.36666666666667,3.89333333333333
"1992Q2",2.33789698560649,7.6,3.68
"1992Q3",2.05168383263761,7.63333333333333,3.08333333333333
"1992Q4",2.17278297641252,7.36666666666667,3.07
"1993Q1",2.36868657739757,7.13333333333333,2.96
"1993Q2",2.36104519960323,7.06666666666667,2.96666666666667
"1993Q3",2.38409807397524,6.8,3.00333333333333
"1993Q4",2.26881186903949,6.63333333333333,3.06
"1994Q1",2.18484333701623,6.56666666666667,3.24333333333333
"1994Q2",2.07432705750987,6.2,3.98666666666667
"1994Q3",2.10362500168042,6,4.47666666666667
"1994Q4",2.07331025763517,5.63333333333333,5.28
"1995Q1",2.13210832083481,5.46666666666667,5.73666666666667
"1995Q2",2.14303644585359,5.66666666666667,5.59666666666667
"1995Q3",2.05879215467286,5.66666666666667,5.36666666666667
"1995Q4",1.9748326905515,5.56666666666667,5.26
"1996Q1",1.86631538693316,5.53333333333333,4.93
"1996Q2",1.78527145860361,5.5,5.02
"1996Q3",1.8227709577757,5.26666666666667,5.09666666666667
"1996Q4",1.77347157389072,5.33333333333333,4.97666666666667
"1997Q1",1.76104443506224,5.23333333333333,5.06
"1997Q2",1.8507442845725,5,5.04666666666667
"1997Q3",1.66353577112055,4.86666666666667,5.04666666666667
"1997Q4",1.59922436624598,4.66666666666667,5.09
"1998Q1",1.25165659494781,4.63333333333333,5.05333333333333
"1998Q2",1.01421621839863,4.4,4.97666666666667
"1998Q3",1.1038129524529,4.53333333333333,4.82333333333333
"1998Q4",1.01473001537888,4.43333333333333,4.25333333333333
"1999Q1",1.18521594251471,4.3,4.40666666666667
"1999Q2",1.37690432066382,4.26666666666667,4.45333333333333
"1999Q3",1.37443659092344,4.23333333333333,4.65
"1999Q4",1.62955614644789,4.06666666666667,5.04333333333333
"2000Q1",2.02287637648491,4.03333333333333,5.52
"2000Q2",2.17125489723893,3.93333333333333,5.71333333333333
"2000Q3",2.41146043317517,4,6.01666666666667
"2000Q4",2.42901220512186,3.9,6.01666666666667
"2001Q1",2.44698674691088,4.23333333333333,4.81666666666667
"2001Q2",2.51194878414704,4.4,3.66
"2001Q3",2.18984378534763,4.83333333333333,3.17
"2001Q4",1.97114562007226,5.5,1.90666666666667
"2002Q1",1.55202287590974,5.7,1.72
"2002Q2",1.28318274734687,5.83333333333333,1.71333333333333
"2002Q3",1.42885255027858,5.73333333333333,1.64333333333333
"2002Q4",1.68621517168788,5.86666666666667,1.33333333333333
"2003Q1",1.95939725147571,5.86666666666667,1.15666666666667
"2003Q2",1.90875363065279,6.13333333333333,1.04
"2003Q3",2.03124417536831,6.13333333333333,0.93
"2003Q4",2.02991889327855,5.83333333333333,0.916666666666667
"2004Q1",2.2099132385053,5.7,0.916666666666667
"2004Q2",2.67289375858137,5.6,1.07666666666667
"2004Q3",2.73229867851787,5.43333333333333,1.48666666666667
"2004Q4",2.92337199784232,5.43333333333333,2.00666666666667
"2005Q1",2.97235582090911,5.3,2.53666666666667
"2005Q2",2.89088785307969,5.1,2.86333333333333
"2005Q3",3.20319146376118,4.96666666666667,3.36
"2005Q4",3.2262649360626,4.96666666666667,3.82666666666667
"2006Q1",3.15876828693593,4.73333333333333,4.39333333333333
"2006Q2",3.31408201778158,4.63333333333333,4.70333333333333
"2006Q3",3.10258011066349,4.63333333333333,4.90666666666667
