"rep","lags","lambda_min","best_lambda","best_log_mdd"
1,1,0.09,0.09,-610.349787628504
2,1,0.09,0.09,-596.698442141853
3,1,0.09,0.09,-621.743589410849
4,1,0.09,0.09,-609.858862206045
5,1,0.09,0.09,-613.058799641533
6,1,0.09,0.09,-602.510634551435
7,1,0.09,0.09,-615.535177702698
8,1,0.09,0.09,-607.24672093803
9,1,0.09,0.09,-625.592209447757
10,1,0.09,0.09,-622.196204317038
11,1,0.09,0.09,-612.161687044312
12,1,0.09,0.09,-631.245225743018
13,1,0.09,0.09,-607.158895336167
14,1,0.09,0.09,-632.402849621484
15,1,0.09,0.09,-622.457111973552
16,1,0.09,0.09,-637.287317828735
17,1,0.09,0.09,-625.32936985418
18,1,0.09,0.09,-613.317550114679
19,1,0.09,0.09,-617.667940872247
20,1,0.09,0.09,-609.119628426881
21,1,0.09,0.09,-593.159488297087
22,1,0.09,0.09,-603.568800411422
23,1,0.09,0.09,-625.732664255339
24,1,0.09,0.09,-629.104744146703
25,1,0.09,0.09,-619.534301967001
26,1,0.09,0.09,-612.649418514215
27,1,0.09,0.09,-612.408431527073
28,1,0.09,0.09,-630.052384065915
29,1,0.09,0.09,-599.587776968456
30,1,0.09,0.09,-614.267394057735
31,1,0.09,0.09,-613.639988725156
32,1,0.09,0.09,-612.713036581482
33,1,0.09,0.09,-607.575350295332
34,1,0.09,0.09,-622.297602152558
35,1,0.09,0.09,-610.108128857291
36,1,0.09,0.09,-606.99892481335
37,1,0.09,0.09,-604.702264768143
38,1,0.09,0.09,-614.770277379744
39,1,0.09,0.09,-611.921613033365
40,1,0.09,0.09,-626.005229514939
41,1,0.09,0.09,-598.491107372028
42,1,0.09,0.09,-603.591211832989
43,1,0.09,0.09,-608.54201908329
44,1,0.09,0.09,-610.147048408103
45,1,0.09,0.09,-603.440162180519
46,1,0.09,0.09,-622.171024390443
47,1,0.09,0.09,-616.488888107778
48,1,0.09,0.09,-623.921108320155
49,1,0.09,0.09,-607.621631282714
50,1,0.09,0.09,-633.090132653732
51,1,0.09,0.09,-628.114843529289
52,1,0.09,0.09,-593.091328089003
53,1,0.09,0.09,-587.79948702563
54,1,0.09,0.09,-626.666209507904
55,1,0.09,0.09,-614.346431729767
56,1,0.09,0.09,-616.462265249585
57,1,0.09,0.09,-633.939335609475
58,1,0.09,0.09,-608.232103118204
59,1,0.09,0.09,-610.298768443274
60,1,0.09,0.09,-622.089901701079
61,1,0.09,0.09,-618.481206778627
62,1,0.09,0.09,-619.422537082476
63,1,0.09,0.09,-598.8958886505
64,1,0.09,0.09,-620.510126073851
65,1,0.09,0.09,-611.336332828296
66,1,0.09,0.09,-606.393903157656
67,1,0.09,0.09,-611.549376331702
68,1,0.09,0.09,-626.949539728674
69,1,0.09,0.09,-594.971365605164
70,1,0.09,0.09,-604.966756941872
71,1,0.09,0.09,-604.688871119214
72,1,0.09,0.09,-618.821244631121
73,1,0.09,0.09,-614.252646805246
74,1,0.09,0.09,-584.047469312018
75,1,0.09,0.09,-612.846400283572
76,1,0.09,0.09,-631.629294796353
77,1,0.09,0.09,-630.388061300777
78,1,0.09,0.09,-607.280622208068
79,1,0.09,0.09,-612.280430777862
80,1,0.09,0.09,-604.305158282921
81,1,0.09,0.09,-610.678916275849
82,1,0.09,0.09,-609.710550461627
83,1,0.09,0.09,-609.013876054774
84,1,0.09,0.09,-626.685196353195
85,1,0.09,0.09,-596.854406387671
86,1,0.09,0.09,-632.544236631238
87,1,0.09,0.09,-622.171945461386
88,1,0.09,0.09,-623.633119737943
89,1,0.09,0.09,-654.07859742706
90,1,0.09,0.09,-596.146858890676
91,1,0.09,0.09,-633.583949223805
92,1,0.09,0.09,-632.98396173223
93,1,0.09,0.09,-596.44947080387
94,1,0.09,0.09,-615.283110355849
95,1,0.09,0.09,-628.84174170233
96,1,0.09,0.09,-619.74940213502
97,1,0.09,0.09,-625.517440908329
98,1,0.09,0.09,-627.783519137899
99,1,0.09,0.09,-614.79943503975
100,1,0.09,0.09,-636.328907013917
1,2,0.13,0.13,-629.968124071852
2,2,0.13,0.13,-654.236011346175
3,2,0.13,0.13,-629.505251629862
4,2,0.13,0.13,-649.539130233179
5,2,0.13,0.13,-622.270836602073
6,2,0.13,0.13,-619.245866983077
7,2,0.13,0.13,-637.118789028475
8,2,0.13,0.13,-634.165822569998
9,2,0.13,0.13,-642.67498962213
10,2,0.13,0.13,-649.026566028856
11,2,0.13,0.13,-616.099140291213
12,2,0.13,0.13,-629.181767397626
13,2,0.13,0.13,-631.209904468439
14,2,0.13,0.13,-608.890927146981
15,2,0.13,0.13,-625.975526704004
16,2,0.13,0.13,-646.550098696329
17,2,0.13,0.13,-629.140201219036
18,2,0.13,0.13,-664.875732465492
19,2,0.13,0.13,-638.804708945386
20,2,0.13,0.13,-642.13117047511
21,2,0.13,0.13,-635.558106132019
22,2,0.13,0.13,-631.265175373642
23,2,0.13,0.13,-640.73294706006
24,2,0.13,0.13,-622.878652225978
25,2,0.13,0.13,-638.412653019528
26,2,0.13,0.13,-632.853980178229
27,2,0.13,0.13,-638.108165390362
28,2,0.13,0.13,-655.264308829138
29,2,0.13,0.13,-646.324145673296
30,2,0.13,0.13,-641.978026772785
31,2,0.13,0.13,-633.535890896665
32,2,0.13,0.13,-626.525074634965
33,2,0.13,0.13,-621.789119220428
34,2,0.13,0.13,-647.002338626091
35,2,0.13,0.13,-647.502610592623
36,2,0.13,0.13,-640.863582833673
37,2,0.13,0.13,-631.505503797922
38,2,0.13,0.13,-653.212288428462
39,2,0.13,0.13,-629.628340151137
40,2,0.13,0.13,-635.847514593973
41,2,0.13,0.13,-643.148438278852
42,2,0.13,0.13,-633.172625669313
43,2,0.13,0.13,-654.664309856628
44,2,0.13,0.13,-622.667507609722
45,2,0.13,0.13,-646.417975208
46,2,0.13,0.13,-638.964473151072
47,2,0.13,0.13,-635.583726454843
48,2,0.13,0.13,-642.847622458275
49,2,0.13,0.13,-632.555905759872
50,2,0.13,0.13,-632.296436534354
51,2,0.13,0.13,-627.970536497508
52,2,0.13,0.13,-629.052990066607
53,2,0.13,0.13,-627.10374033879
54,2,0.13,0.13,-630.619578157251
55,2,0.13,0.13,-645.11692653988
56,2,0.13,0.13,-612.431002510563
57,2,0.13,0.13,-676.966018665788
58,2,0.13,0.13,-644.712584515288
59,2,0.13,0.13,-653.519264679492
60,2,0.13,0.13,-610.95645145474
61,2,0.13,0.13,-637.205086394423
62,2,0.13,0.13,-644.574773148685
63,2,0.13,0.13,-652.568128952776
64,2,0.13,0.13,-621.319857687748
65,2,0.13,0.13,-649.77785382686
66,2,0.13,0.13,-639.008375390051
67,2,0.13,0.13,-617.351977894869
68,2,0.13,0.13,-643.355201253782
69,2,0.13,0.13,-637.774606522923
70,2,0.13,0.13,-647.117244401221
71,2,0.13,0.13,-639.364908975604
72,2,0.13,0.13,-647.84012994412
73,2,0.13,0.13,-663.618383072943
74,2,0.13,0.13,-636.850220381006
75,2,0.13,0.13,-632.545618453371
76,2,0.13,0.13,-643.377386144865
77,2,0.13,0.13,-644.695201353079
78,2,0.13,0.13,-650.336827439404
79,2,0.13,0.13,-628.530468909771
80,2,0.13,0.13,-628.134008090436
81,2,0.13,0.13,-639.253120290898
82,2,0.13,0.13,-623.596452297791
83,2,0.13,0.13,-642.978819463053
84,2,0.13,0.13,-642.660138868158
85,2,0.13,0.13,-649.556771112873
86,2,0.13,0.13,-642.105489122701
87,2,0.13,0.13,-659.144945655924
88,2,0.13,0.13,-632.940529407437
89,2,0.13,0.13,-645.206646699198
90,2,0.13,0.13,-648.894655291209
91,2,0.13,0.13,-631.784888755358
92,2,0.13,0.13,-641.226373336596
93,2,0.13,0.13,-628.220740849695
94,2,0.13,0.13,-630.251224884677
95,2,0.13,0.13,-655.368615697589
96,2,0.13,0.13,-628.68187437154
97,2,0.13,0.13,-640.156352062507
98,2,0.13,0.13,-642.560957047069
99,2,0.13,0.13,-623.232898644969
100,2,0.13,0.13,-649.846107261455
1,3,0.17,0.17,-653.716527252898
2,3,0.17,0.17,-671.878237366123
3,3,0.17,0.17,-639.576006575378
4,3,0.17,0.17,-660.902166053061
5,3,0.17,0.17,-662.400508675039
6,3,0.17,0.17,-692.981552382255
7,3,0.17,0.17,-655.05384228052
8,3,0.17,0.17,-646.427912034075
9,3,0.17,0.17,-650.896972090189
10,3,0.17,0.17,-678.546667114211
11,3,0.17,0.17,-660.922637417147
12,3,0.17,0.17,-644.199708498422
13,3,0.17,0.17,-671.668213742352
14,3,0.17,0.17,-656.416384603728
15,3,0.17,0.17,-689.017965742155
16,3,0.17,0.17,-666.261046112604
17,3,0.17,0.17,-682.239715140603
18,3,0.17,0.17,-660.649078243682
19,3,0.17,0.17,-666.032514733828
20,3,0.17,0.17,-664.776985243858
21,3,0.17,0.17,-654.660475151411
22,3,0.17,0.17,-668.270469847002
23,3,0.17,0.17,-675.278957230268
24,3,0.17,0.17,-654.468811055476
25,3,0.17,0.17,-674.427384822585
26,3,0.17,0.17,-668.236025215121
27,3,0.17,0.17,-671.51395088368
28,3,0.17,0.17,-665.058456653759
29,3,0.17,0.17,-662.888012384733
30,3,0.17,0.17,-649.451654550856
31,3,0.17,0.17,-664.75247518115
32,3,0.17,0.17,-655.582573624252
33,3,0.17,0.17,-652.151196948303
34,3,0.17,0.17,-657.655668224337
35,3,0.17,0.17,-690.631365598153
36,3,0.17,0.17,-654.519132367814
37,3,0.17,0.17,-657.474952481239
38,3,0.17,0.17,-658.921521894176
39,3,0.17,0.17,-653.989090427641
40,3,0.17,0.17,-660.923105159278
41,3,0.17,0.17,-654.530695907741
42,3,0.17,0.17,-641.951991830727
43,3,0.17,0.17,-672.464154820394
44,3,0.17,0.17,-665.048897160439
45,3,0.17,0.17,-647.438101886667
46,3,0.17,0.17,-656.019190544438
47,3,0.17,0.17,-636.48225808549
48,3,0.17,0.17,-677.09467882088
49,3,0.17,0.17,-662.813685030306
50,3,0.17,0.17,-665.734737191486
51,3,0.17,0.17,-688.298920082692
52,3,0.17,0.17,-672.826181200726
53,3,0.17,0.17,-670.719487140473
54,3,0.17,0.17,-656.491320974509
55,3,0.17,0.17,-640.168080643649
56,3,0.17,0.17,-661.150621040665
57,3,0.17,0.17,-654.705619624697
58,3,0.17,0.17,-691.30104837604
59,3,0.17,0.17,-680.262328218835
60,3,0.17,0.17,-662.884982527941
61,3,0.17,0.17,-652.307863734215
62,3,0.17,0.17,-649.576256572979
63,3,0.17,0.17,-661.758197253401
64,3,0.17,0.17,-690.921952955165
65,3,0.17,0.17,-673.99520148586
66,3,0.17,0.17,-661.314759911476
67,3,0.17,0.17,-666.972839050094
68,3,0.17,0.17,-699.670973567255
69,3,0.17,0.17,-636.911957192123
70,3,0.17,0.17,-649.605897799458
71,3,0.17,0.17,-679.779344310876
72,3,0.17,0.17,-653.53660978646
73,3,0.17,0.17,-661.940546766188
74,3,0.17,0.17,-676.669860520688
75,3,0.17,0.17,-638.859355553312
76,3,0.17,0.17,-671.552470865693
77,3,0.17,0.17,-639.827188273793
78,3,0.17,0.17,-648.418838108544
79,3,0.17,0.17,-648.331885499233
80,3,0.17,0.17,-658.88494617874
81,3,0.17,0.17,-646.947007556513
82,3,0.17,0.17,-663.412726139749
83,3,0.17,0.17,-656.332668355429
84,3,0.17,0.17,-655.865677202708
85,3,0.17,0.17,-668.852315609542
86,3,0.17,0.17,-654.749821075712
87,3,0.17,0.17,-662.061987304589
88,3,0.17,0.17,-641.497562911221
89,3,0.17,0.17,-646.684883600288
90,3,0.17,0.17,-664.769198658671
91,3,0.17,0.17,-630.249362804169
92,3,0.17,0.17,-643.393599972518
93,3,0.17,0.17,-670.406291115395
94,3,0.17,0.17,-682.730041421371
95,3,0.17,0.17,-648.828779735176
96,3,0.17,0.17,-659.882408817936
97,3,0.17,0.17,-688.802696213525
98,3,0.17,0.17,-650.262102195776
99,3,0.17,0.17,-675.344341052711
100,3,0.17,0.17,-667.433856935646
1,4,0.2,0.2,-682.64214109281
2,4,0.2,0.2,-698.312227352189
3,4,0.2,0.2,-682.878698632156
4,4,0.2,0.2,-673.12220684184
5,4,0.2,0.2,-697.623478702406
6,4,0.2,0.2,-685.551138223807
7,4,0.2,0.2,-685.146927525794
8,4,0.2,0.2,-692.723117662322
9,4,0.2,0.2,-676.851907061971
10,4,0.2,0.2,-711.062346781398
11,4,0.2,0.2,-684.979218513674
12,4,0.2,0.2,-683.715658523311
13,4,0.2,0.2,-668.854966875727
14,4,0.2,0.2,-687.673687505561
15,4,0.2,0.2,-671.15679240259
16,4,0.2,0.2,-691.770163804751
17,4,0.2,0.2,-682.367648854536
18,4,0.2,0.2,-665.784719249088
19,4,0.2,0.2,-687.12736217619
20,4,0.2,0.2,-655.380487384415
21,4,0.2,0.2,-679.056297362664
22,4,0.2,0.2,-688.183070209626
23,4,0.2,0.2,-670.018476044366
24,4,0.2,0.2,-695.188587929154
25,4,0.2,0.2,-665.575077207685
26,4,0.2,0.2,-657.790513791424
27,4,0.2,0.2,-672.194621103676
28,4,0.2,0.2,-666.003531992845
29,4,0.2,0.2,-677.699608323935
30,4,0.2,0.2,-642.652100522612
31,4,0.2,0.2,-687.369022936396
32,4,0.2,0.2,-686.006258350681
33,4,0.2,0.2,-678.553797317055
34,4,0.2,0.2,-657.197909722211
35,4,0.2,0.2,-681.394858997397
36,4,0.2,0.2,-689.406770676628
37,4,0.2,0.2,-672.53373804581
38,4,0.2,0.2,-673.616677615519
39,4,0.2,0.2,-653.52196401645
40,4,0.2,0.2,-695.005550857175
41,4,0.2,0.2,-675.163710104727
42,4,0.2,0.2,-680.954066866871
43,4,0.2,0.2,-683.930525576856
44,4,0.2,0.2,-680.179561919047
45,4,0.2,0.2,-669.40717671001
46,4,0.2,0.2,-684.138093868081
47,4,0.2,0.2,-680.493081300415
48,4,0.2,0.2,-672.44246920547
49,4,0.2,0.2,-657.632628234671
50,4,0.2,0.2,-650.669977071008
51,4,0.2,0.2,-683.720652328333
52,4,0.2,0.2,-689.067275033213
53,4,0.2,0.2,-678.433576904923
54,4,0.2,0.2,-668.636738046649
55,4,0.2,0.2,-706.447460642191
56,4,0.2,0.2,-688.811710097383
57,4,0.2,0.2,-681.424357527794
58,4,0.2,0.2,-687.898897745738
59,4,0.2,0.2,-663.052482738352
60,4,0.2,0.2,-696.688834760119
61,4,0.2,0.2,-689.312904141873
62,4,0.2,0.2,-696.254662553151
63,4,0.2,0.2,-674.009570580636
64,4,0.2,0.2,-694.977155703286
65,4,0.2,0.2,-706.922854947376
66,4,0.2,0.2,-671.575279171601
67,4,0.2,0.2,-692.967411669483
68,4,0.2,0.2,-692.45970041463
69,4,0.2,0.2,-690.712207635886
70,4,0.2,0.2,-679.250917146285
71,4,0.2,0.2,-687.622557586742
72,4,0.2,0.2,-687.581742510389
73,4,0.2,0.2,-688.42575052003
74,4,0.2,0.2,-682.798478097073
75,4,0.2,0.2,-664.247085692017
76,4,0.2,0.2,-686.769543659544
77,4,0.2,0.2,-675.292061204807
78,4,0.2,0.2,-676.535255619572
79,4,0.2,0.2,-705.91440603276
80,4,0.2,0.2,-691.668504240917
81,4,0.2,0.2,-680.690157312341
82,4,0.2,0.2,-686.269537034939
83,4,0.2,0.2,-686.23704377802
84,4,0.2,0.2,-687.584042695061
85,4,0.2,0.2,-684.035831788688
86,4,0.2,0.2,-674.254929042722
87,4,0.2,0.2,-654.800474723988
88,4,0.2,0.2,-672.553664571018
89,4,0.2,0.2,-683.034528969954
90,4,0.2,0.2,-681.496898094365
91,4,0.2,0.2,-673.273332664403
92,4,0.2,0.2,-680.200947393985
93,4,0.2,0.2,-681.071405258513
94,4,0.2,0.2,-687.578932057797
95,4,0.2,0.2,-671.312271496561
96,4,0.2,0.2,-681.43163426208
97,4,0.2,0.2,-675.772500730167
98,4,0.2,0.2,-674.458859385807
99,4,0.2,0.2,-678.420009645572
100,4,0.2,0.2,-659.218496780469
1,5,0.24,0.24,-704.152753177836
2,5,0.24,0.24,-688.150511644492
